Cronel,414.208,48.098,47.812,32.028,48.868,34.481,37.52,53.819,34.034,35.401,42.147
Saccora,382.098,44.815,41.156,38.045,28.4,24.597,27.267,48.45,61.121,19.666,48.581
Downrightdave,332.793,40.075,37.116,45.636,47.448,35.56,19.425,52.237,55.296,0,0
Grapes of Math,323.048,41.546,32.267,45.816,39.983,40.485,41.921,36.926,44.104,0,0
Rush,307.68,33.706,29.841,17.308,15.984,45.794,31.92,42.308,30.023,22.837,37.959
Virchue,285.963,29.429,16.078,34.726,26.85,37.255,35.204,22.577,23.089,32.91,27.845
Oment,268.928,21.883,23.688,31.553,21.108,21.403,44.621,23.284,26.889,21.15,33.349
Crazy Elf,225.332,42.888,35.104,12.076,33.669,15.07,27.161,25.884,10.394,18.22,4.866
Vran,217.026,27.754,24.376,18.925,19.521,23.968,25.181,28.206,23.738,24.153,1.204
Toothy,189.623,0,44.903,6.65,28.57,13.531,21.066,8.275,31.091,12.341,23.196
Jomutta,188.059,26.532,10.344,22.728,35.138,20.418,15.187,13.387,16.668,11.402,16.255
Robert,181.202,9.369,19.605,10.369,33.255,9.49,6.954,62.752,7.837,11.789,9.782
Mulla,178.684,15.03,40.953,22.644,10.291,4.278,9.354,19.359,12.062,26.319,18.394
Tidnab,175.472,47.786,5.954,8.178,40.861,13.665,6.982,25.566,6.449,11.856,8.175
p@qz™,175.126,0,28.009,11.994,17.794,8.032,13.443,18.054,30.72,18.129,28.951
Sharkey,170.544,15.749,7.667,14.586,33.292,12.669,17.724,16.856,26.336,0.338,25.327
Templeman,164.604,41.287,24.119,10.824,11.523,7.096,11.512,13.104,1.012,40.794,3.333
Guydoonster,158.555,6.508,15.933,13.817,18.794,32.479,16.385,12.923,5.817,15.893,20.006
jmerc13,154.185,25.104,6.188,20.878,26.321,10.465,16.033,12.298,2.574,13.418,20.906
Dark towers,153.471,48.05,10.051,8.932,15.691,28.027,5.521,7.439,5.95,8.939,14.871
Thors Bjørn,150.806,0,0,17.668,12.826,20.308,19.681,35.824,36.074,8.425,0
Rio,149.839,12.3,12.885,4.746,15.664,37.689,9.567,17.795,10.067,10.397,18.729
MannoWrath,146.537,30.14,38.529,2.489,9.738,13.666,12.258,6.915,26.77,6.032,0
Cents321,142.077,19.589,15.752,3.73,27.199,25.94,3.48,4.051,14.707,2.897,24.732
TerryPie,140.979,16.925,14.718,5.44,6.806,1.034,36.293,28.479,1.16,0.696,29.428
AlexJones,140.07,0,0,13.608,8.904,27.209,32.809,20.442,3.117,28.026,5.955
cerbrus87,139.927,13.274,12.058,22.366,13.633,9.222,13.601,22.445,15.035,5.27,13.023
Almezo,138.853,0,5.862,13.011,12.585,21.211,17.723,8.79,7.806,29.0,22.865
ajj_howtorot,137.956,5.162,20.386,0,17.637,3.558,0.712,18.648,2.048,51.522,18.283
playt0i,131.79,24.052,6.372,9.643,14.557,12.144,29.804,12.408,19.028,1.013,2.769
Volv,130.675,13.357,10.585,7.358,43.4,4.739,38.611,2.724,0.011,9.89,0
Shaidar,130.088,21.668,22.206,7.007,31.067,9.882,13.659,5.47,3.432,10.198,5.499
exrio,129.911,6.819,9.029,11.357,24.885,31.732,19.267,21.847,0.745,3.255,0.975
Merf,127.311,29.953,13.83,5.806,11.478,2.216,9.164,2.655,18.733,20.725,12.751
mris,125.148,1.809,23.699,1.776,12.134,34.712,8.376,16.217,1.927,14.542,9.956
Soup,116.219,30.458,18.889,13.275,3.512,16.491,21.677,11.917,0,0,0
Wurstmeyer,115.617,10.068,4.637,7.482,19.124,7.423,10.398,22.161,11.632,12.93,9.762
Warpig,112.465,5.75,12.09,10.673,12.443,5.628,14.825,18.669,4.716,8.846,18.825
OMGnoob,112.066,0,5.748,8.046,24.587,16.723,12.831,8.413,3.998,10.126,21.594
Zedijar,109.096,18.745,23.718,11.671,21.93,3.594,9.48,2.302,2.726,8.356,6.574
AgFx,108.207,34.917,29.413,6.301,23.662,13.914,0,0,0,0,0
nurtho,107.649,6.434,8.286,6.09,1.042,7.694,12.429,7.886,10.789,36.783,10.216
Puntti,107.491,20.97,3.658,5.905,4.633,3.091,14.09,10.198,7.594,27.017,10.335
Unfather,103.12,1.114,11.703,8.58,36.05,26.122,4.449,8.811,1.501,1.495,3.295
Jcinnz,102.422,28.239,9.851,3.66,7.512,8.355,13.756,6.693,8.001,15.954,0.401
Canard,101.639,0,14.773,16.825,0.123,0.051,3.169,22.592,18.886,18.361,6.859
Beautiful Disaster,100.514,21.822,9.151,3.912,12.827,6.852,4.659,19.368,7.656,3.868,10.399
Gipsa,98.595,5.168,0,49.444,19.389,7.884,16.71,0,0,0,0
Empoy,98.329,1.205,26.06,9.221,9.874,15.889,6.071,5.296,8.392,7.12,9.201
Faith,96.019,20.86,0,14.561,0,15.051,0,0,15.634,12.797,17.116
MikeyBlue,95.133,7.342,5.282,7.894,12.38,9.218,5.66,8.243,11.866,14.04,13.208
MacTheMeek,95.123,0.0,30.209,2.253,20.665,1.323,6.925,0.006,0,5.836,27.906
Damdred,93.767,1.85,17.634,12.818,19.22,0.0,19.373,22.872,0,0,0
InternetFett,92.957,22.401,13.869,0.012,16.128,0.486,5.442,2.511,12.718,7.801,11.589
ForPony!,89.89,0,0.0,48.092,36.917,4.881,0,0,0,0,0
BigBell,89.364,4.369,6.635,3.984,6.664,1.057,18.25,16.298,0.014,6.938,25.155
Sloxxor,87.45,11.154,16.251,13.945,7.323,6.807,5.736,0.041,7.464,6.146,12.583
Swamp Fox,85.768,16.082,3.946,2.949,23.423,15.131,0,0,8.021,6.303,9.913
Nate,85.76,0,0,0.008,15.969,3.003,15.753,0.032,19.191,19.223,12.581
margoose,83.035,0.748,9.438,4.063,4.722,38.3,13.296,8.423,1.803,1.034,1.208
bigchris27,82.961,11.605,6.202,6.623,4.445,4.895,5.366,3.143,8.212,12.613,19.857
lamb,82.374,17.215,0,7.25,14.204,6.417,10.786,2.432,12.245,5.862,5.963
Mdk,81.387,0,0.0,0.569,0,36.415,0,1.461,30.728,12.214,0
Chunk,80.379,13.706,11.602,12.301,20.694,1.247,12.697,8.132,0,0,0
